phrase_id;doc_id_origine;pronoms;token_text;lemma;pos;dep;suggestion_label;label_discours;label_concret
0;EL197_L_1993_03_091_08_1_PF_09;['je'];je;je;PRON;nsubj;B-PRON_SUJ;B-SUJ;B-SUJ
0;EL197_L_1993_03_091_08_1_PF_09;['je'];pense;penser;VERB;ROOT;B-VERB_ETAT;B-VERB_ETAT;B-VERB_CONTEXTE
0;EL197_L_1993_03_091_08_1_PF_09;['je'];également;également;ADV;advmod;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];nécessaire;nécessaire;ADJ;xcomp;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];qu';que;SCONJ;mark;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];un;un;DET;det;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];plus;plus;ADV;advmod;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];grand;grand;ADJ;amod;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];nombre;nombre;NOUN;nsubj;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];de;de;ADP;case;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];femmes;femme;NOUN;nmod;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];participent;participer;VERB;ccomp;B-VERB_ACT;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];à;à;ADP;case;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];l';le;DET;det;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];élaboration;élaboration;NOUN;obl:arg;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];des;de;ADP;case;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];décisions;décision;NOUN;nmod;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];aussi;aussi;ADV;advmod;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];importantes;important;ADJ;amod;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];que;que;SCONJ;mark;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];celles;celui;PRON;dep;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];qui;qui;PRON;nsubj;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];engagent;engager;VERB;acl:relcl;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];la;le;DET;det;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];vie;vie;NOUN;obj;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];de;de;ADP;case;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];nos;notre;DET;det;O;O;O
0;EL197_L_1993_03_091_08_1_PF_09;['je'];familles;famille;NOUN;nmod;O;O;O
1;EL189_L_1993_03_007_03_1_PF_03;"['je', ""m'"", 'vous', ""m'"", ""j'""]";pour;pour;ADP;case;O;O;O
1;EL189_L_1993_03_007_03_1_PF_03;"['je', ""m'"", 'vous', ""m'"", ""j'""]";notre;notre;DET;det;O;O;O
1;EL189_L_1993_03_007_03_1_PF_03;"['je', ""m'"", 'vous', ""m'"", ""j'""]";circonscription;circonscription;NOUN;obl:mod;O;O;O
